0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
1.0,2.0,
1.0,2.0,
1.0,2.0,
1.0,2.0,
1.0,2.0,
1.0,2.0,
1.0,2.0,
1.0,2.0,
1.0,2.0,
1.0,2.0,
9.0,10.0,
9.0,10.0,
9.0,10.0,
9.0,10.0,
9.0,10.0,
9.0,10.0,
9.0,10.0,
9.0,10.0,
9.0,10.0,
9.0,10.0,
30.0,2.0,
30.0,2.0,
30.0,2.0,
30.0,2.0,
30.0,2.0,
30.0,2.0,
30.0,2.0,
30.0,2.0,
30.0,2.0,
30.0,2.0,
30.0,2.0,
30.0,2.0,
30.0,2.0,
30.0,2.0,
30.0,2.0,
30.0,2.0,
30.0,2.0,
30.0,2.0,
30.0,2.0,
30.0,2.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
25.0,8.0,
8.0,10.0,
8.0,10.0,
8.0,10.0,
8.0,10.0,
8.0,10.0,
8.0,10.0,
8.0,10.0,
8.0,10.0,
8.0,10.0,
8.0,10.0,
8.0,10.0,
8.0,10.0,
8.0,10.0,
8.0,10.0,
8.0,10.0,
8.0,10.0,
8.0,10.0,
8.0,10.0,
8.0,10.0,
8.0,10.0,
